Código,Fecha Depósito,Nombre entidad que deposita,Texto depositado,Pólizas/Cláusulas,Temas,Res. Autoriza,Res. Prohibición
POL320240089,01/05/2024,CHUBB SEGUROS CHILE S.A.,SEGURO DE ACCIDENTES PERSONALES PARA TRABAJADORES ,,"- Accidentes Personales
", - , - 
POL320240088,01/05/2024,CHUBB SEGUROS CHILE S.A.,"SEGURO DE ACCIDENTES PERSONALES PARA PASAJEROS DE VEHICULOS

MOTORIZADOS
",,"- Accidentes Personales
", - , - 
POL320240087,01/05/2024,CHUBB SEGUROS CHILE S.A.,PÓLIZA DE ACCIDENTES PERSONALES,,"- Accidentes Personales
", - , - 
CAD120240086,30/04/2024,CHUBB SEGUROS CHILE S.A.,CLAUSULA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR RIESGO DE LA ,"POL120230284
","- Incendio
", - , - 
CAD120240085,30/04/2024,CHUBB SEGUROS CHILE S.A.,CLAUSULA ADICIONAL DE DAÑO ELECTRICO,"POL120230284
","- Incendio
- Otro tema
", - , - 
CAD120240084,30/04/2024,CHUBB SEGUROS CHILE S.A.,"CLAUSULA ADICIONAL DE DAÑOS MATERIALES A CONSECUENCIA DIRECTA DE

HUELGA O DESORDEN POPULAR
","POL120230284
","- Incendio
- Otro tema
", - , - 
CAD120240083,30/04/2024,CHUBB SEGUROS CHILE S.A.,CLAUSULA ADICIONAL DE SAQUEO Y DAÑOS MATERIALES POR SAQUEO DURANTE HUELGA O DESORDEN POPULAR ,"POL120230284
","- Incendio
- Otro tema
", - , - 
CAD120240082,30/04/2024,CHUBB SEGUROS CHILE S.A.,"CLAUSULA DE DAÑOS MATERIALES CAUSADOS POR LA CAIDA DE ÁRBOLES O

RAMAS
","POL120230284
","- Incendio
- Otro tema
", - , - 
CAD120240081,30/04/2024,CHUBB SEGUROS CHILE S.A.,"CLAUSULA DE DAÑOS MATERIALES CAUSADOS POR LA CAÍDA DE INSTALACIONES DE MÁSTILES, POSTES, ANTENAS DE RADIO, TELEVISIÓN O TELEFONÍA","POL120230284
","- Otro tema
", - , - 
CAD120240080,30/04/2024,CHUBB SEGUROS CHILE S.A.,CLAUSULA ADICIONAL DE ASISTENCIA DOMICILIARIA ,"POL120210233
","- Asistencia Generales
", - , - 
CAD120240079,30/04/2024,CHUBB SEGUROS CHILE S.A.,CLÁUSULA DE DAÑOS MATERIALES CAUSADOS POR EXPLOSIÓN,"POL120210233
","- Incendio
", - , - 
CAD120240078,30/04/2024,CHUBB SEGUROS CHILE S.A.,CLÁUSULA DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR COLISIÓN DE OBJETOS FLOTANTES ,"POL120210233
","- Incendio
", - , - 
